Wavelength,Daylight Window,Daylight Direct
387.6,0.0064,0.0186
387.8,0.0076,0.0190
388.0,0.0097,0.0222
388.3,0.0072,0.0203
388.5,0.0090,0.0186
388.7,0.0124,0.0214
388.9,0.0098,0.0229
389.1,0.0095,0.0223
389.3,0.0102,0.0216
389.6,0.0111,0.0209
389.8,0.0102,0.0216
390.0,0.0120,0.0259
390.2,0.0125,0.0258
390.4,0.0138,0.0268
390.6,0.0105,0.0278
390.9,0.0142,0.0285
391.1,0.0145,0.0254
391.3,0.0132,0.0265
391.5,0.0135,0.0273
391.7,0.0156,0.0296
391.9,0.0163,0.0303
392.2,0.0190,0.0312
392.4,0.0121,0.0295
392.6,0.0172,0.0324
392.8,0.0166,0.0327
393.0,0.0171,0.0304
393.2,0.0134,0.0282
393.5,0.0150,0.0280
393.7,0.0111,0.0253
393.9,0.0099,0.0237
394.1,0.0090,0.0209
394.3,0.0113,0.0196
394.5,0.0144,0.0185
394.8,0.0133,0.0208
395.0,0.0130,0.0199
395.2,0.0148,0.0216
395.4,0.0159,0.0262
395.6,0.0191,0.0299
395.8,0.0174,0.0293
396.1,0.0192,0.0350
396.3,0.0206,0.0352
396.5,0.0188,0.0309
396.7,0.0184,0.0359
396.9,0.0185,0.0314
397.1,0.0161,0.0300
397.4,0.0160,0.0267
397.6,0.0125,0.0240
397.8,0.0125,0.0253
398.0,0.0160,0.0263
398.2,0.0152,0.0287
398.4,0.0209,0.0307
398.7,0.0223,0.0297
398.9,0.0221,0.0330
399.1,0.0238,0.0369
399.3,0.0241,0.0408
399.5,0.0273,0.0445
399.8,0.0283,0.0469
400.0,0.0334,0.0438
400.2,0.0303,0.0440
400.4,0.0327,0.0495
400.6,0.0296,0.0484
400.8,0.0327,0.0505
401.1,0.0267,0.0503
401.3,0.0309,0.0512
401.5,0.0330,0.0482
401.7,0.0357,0.0525
401.9,0.0368,0.0536
402.1,0.0325,0.0522
402.4,0.0381,0.0530
402.6,0.0355,0.0523
402.8,0.0375,0.0556
